content_id,avg_polarity,review_count,pct_positive,pct_neutral,pct_negative,avg_subjectivity,avg_acting_score,avg_plot_score,avg_visual_score
M0086216,0.131,5,40.0,40.0,20.0,0.669,0.082,0.127,0.202
M0086250,0.397,5,80.0,20.0,0.0,0.551,0.108,0.214,0.078
M0086320,-0.136,5,0.0,80.0,20.0,0.461,-0.083,-0.083,0.0
M0086383,-0.097,5,20.0,40.0,40.0,0.583,0.004,-0.019,0.123
M0086393,-0.489,5,0.0,20.0,80.0,0.552,-0.072,-0.147,0.0
M0086425,0.01,5,20.0,60.0,20.0,0.549,-0.087,0.037,0.123
M0086465,0.219,5,60.0,40.0,0.0,0.615,0.117,0.217,0.0
M0086541,-0.121,5,0.0,80.0,20.0,0.505,0.017,0.017,0.0
M0086567,0.322,5,80.0,20.0,0.0,0.444,0.043,0.281,0.101
M0086617,-0.242,5,20.0,40.0,40.0,0.599,-0.003,-0.243,0.093
M0086637,0.388,5,80.0,20.0,0.0,0.657,0.292,0.213,0.0
M0086837,-0.09,5,60.0,0.0,40.0,0.543,0.123,-0.098,0.093
M0086879,0.544,5,100.0,0.0,0.0,0.682,0.187,0.224,0.411
M0086960,0.229,5,40.0,40.0,20.0,0.551,0.093,0.15,0.093
M0086979,0.522,5,80.0,20.0,0.0,0.68,0.093,0.4,0.093
M0086984,0.264,5,60.0,20.0,20.0,0.63,0.113,0.214,0.101
M0086993,0.181,5,40.0,60.0,0.0,0.543,0.158,0.13,0.0
M0087050,-0.066,5,40.0,20.0,40.0,0.613,0.097,0.004,0.093
M0087078,0.076,5,40.0,40.0,20.0,0.469,0.059,0.119,0.0
M0087182,-0.073,5,20.0,60.0,20.0,0.477,0.023,0.123,0.0
M0087233,0.076,5,40.0,40.0,20.0,0.706,0.0,0.149,0.247
M0087277,0.408,5,60.0,40.0,0.0,0.703,0.004,0.401,0.247
M0087298,0.051,5,40.0,40.0,20.0,0.483,0.017,0.167,0.0
M0087332,0.222,5,40.0,40.0,20.0,0.548,0.004,0.265,0.0
M0087363,0.35,5,60.0,40.0,0.0,0.663,0.013,0.36,0.247
M0087469,0.198,5,60.0,0.0,40.0,0.647,0.187,0.049,0.31
M0087538,0.427,5,80.0,20.0,0.0,0.613,0.078,0.35,0.078
M0087544,0.562,5,100.0,0.0,0.0,0.745,0.193,0.447,0.34
M0087553,0.067,5,40.0,40.0,20.0,0.591,0.004,0.156,0.0
M0087597,0.452,5,80.0,20.0,0.0,0.629,0.121,0.273,0.217
M0087781,0.331,5,60.0,40.0,0.0,0.693,0.178,0.223,0.202
M0087799,0.025,5,40.0,40.0,20.0,0.516,0.044,0.093,0.0
M0087800,0.225,5,60.0,40.0,0.0,0.52,0.104,0.204,0.0
M0087803,0.287,5,40.0,60.0,0.0,0.638,0.013,0.287,0.123
M0087843,0.393,5,80.0,20.0,0.0,0.657,0.123,0.23,0.093
M0087884,0.208,5,60.0,40.0,0.0,0.54,0.097,0.204,0.093
M0087909,0.05,5,60.0,20.0,20.0,0.572,0.131,0.0,0.093
M0087928,0.1,5,40.0,60.0,0.0,0.408,0.035,0.004,0.0
M0087957,0.306,5,40.0,60.0,0.0,0.599,0.127,0.277,0.0
M0087985,-0.051,5,20.0,60.0,20.0,0.473,-0.068,0.032,0.0
M0087995,0.221,5,40.0,60.0,0.0,0.636,0.013,0.26,0.247
M0088000,0.41,5,60.0,40.0,0.0,0.72,0.078,0.273,0.202
M0088011,-0.032,5,40.0,40.0,20.0,0.54,0.034,0.08,0.0
M0088024,-0.371,5,20.0,20.0,60.0,0.629,0.104,-0.189,0.0
M0088117,-0.151,5,20.0,20.0,60.0,0.526,0.0,0.003,0.0
M0088128,0.314,5,40.0,60.0,0.0,0.509,0.031,0.331,0.0
M0088161,0.503,5,80.0,20.0,0.0,0.643,0.22,0.338,0.093
M0088170,-0.075,5,0.0,100.0,0.0,0.488,0.008,0.008,0.0
M0088172,0.19,5,40.0,60.0,0.0,0.528,0.143,0.013,0.093
M0088184,0.257,5,60.0,20.0,20.0,0.503,0.108,0.1,0.078
M0088247,0.417,5,80.0,0.0,20.0,0.567,0.121,0.251,0.194
M0088258,0.236,5,60.0,20.0,20.0,0.682,0.217,0.317,0.0
M0088286,0.276,5,60.0,20.0,20.0,0.726,0.22,0.13,0.093
M0088323,0.346,5,60.0,40.0,0.0,0.562,0.14,0.39,0.0
M0088680,0.387,5,80.0,0.0,20.0,0.772,0.157,0.373,0.247
M0088763,0.231,5,60.0,40.0,0.0,0.571,0.008,0.278,0.123
M0088794,0.263,5,60.0,40.0,0.0,0.469,0.143,0.117,0.078
M0088814,0.321,5,60.0,20.0,20.0,0.704,0.318,0.24,0.01
M0088846,0.394,5,80.0,0.0,20.0,0.694,0.127,0.39,0.0
M0088847,0.33,5,80.0,20.0,0.0,0.496,0.0,0.309,0.0
M0088850,0.306,5,80.0,20.0,0.0,0.566,0.035,0.227,0.123
M0088930,0.38,5,60.0,40.0,0.0,0.68,0.213,0.337,0.123
M0088933,0.445,5,80.0,20.0,0.0,0.605,0.237,0.237,0.217
M0088939,0.707,5,100.0,0.0,0.0,0.769,0.207,0.498,0.217
M0088944,0.332,5,60.0,20.0,20.0,0.692,0.093,0.247,0.34
M0088993,-0.104,5,20.0,60.0,20.0,0.522,0.114,-0.126,0.093
M0089013,-0.162,5,0.0,80.0,20.0,0.51,0.017,0.017,0.0
M0089114,0.131,5,20.0,80.0,0.0,0.561,0.017,0.141,0.123
M0089155,0.181,5,40.0,40.0,20.0,0.576,0.093,0.111,0.093
M0089173,-0.173,5,20.0,20.0,60.0,0.639,0.004,0.154,0.0
M0089175,0.255,5,60.0,0.0,40.0,0.722,0.127,0.277,0.0
M0089218,0.397,5,80.0,0.0,20.0,0.732,0.287,0.25,0.187
M0089360,-0.374,5,0.0,40.0,60.0,0.527,-0.073,-0.171,0.0
M0089370,-0.282,5,20.0,40.0,40.0,0.463,0.015,-0.132,0.0
M0089393,0.383,5,60.0,40.0,0.0,0.695,0.097,0.277,0.217
M0089461,0.535,5,80.0,20.0,0.0,0.695,0.317,0.428,0.0
M0089469,-0.367,5,20.0,0.0,80.0,0.633,0.0,0.003,0.101
M0089470,0.147,5,40.0,40.0,20.0,0.548,0.006,0.078,0.078
M0089489,0.253,5,60.0,40.0,0.0,0.596,0.093,0.123,0.217
M0089530,-0.058,5,20.0,60.0,20.0,0.582,0.008,0.057,0.123
M0089670,0.144,5,60.0,20.0,20.0,0.478,-0.027,0.063,0.0
M0089686,-0.15,5,20.0,40.0,40.0,0.555,0.004,-0.094,0.0
M0089755,0.612,5,80.0,20.0,0.0,0.702,0.1,0.55,0.0
M0089767,0.642,5,100.0,0.0,0.0,0.651,0.349,0.338,0.093
M0089791,0.269,5,60.0,20.0,20.0,0.747,0.187,0.123,0.31
M0089822,-0.105,5,40.0,0.0,60.0,0.683,-0.1,0.075,0.123
M0089853,0.504,5,80.0,20.0,0.0,0.668,0.197,0.338,0.217
M0089880,-0.095,5,20.0,40.0,40.0,0.542,0.024,-0.05,0.0
M0089881,0.285,5,60.0,0.0,40.0,0.588,0.0,0.331,0.101
M0089885,-0.12,5,20.0,40.0,40.0,0.6,0.013,0.113,0.0
M0089886,0.127,5,40.0,40.0,20.0,0.51,0.12,0.177,0.093
M0089893,-0.27,5,0.0,60.0,40.0,0.545,0.008,-0.067,0.0
M0089907,0.299,5,40.0,60.0,0.0,0.545,0.22,0.127,0.093
M0089927,-0.06,5,0.0,100.0,0.0,0.386,0.038,0.038,0.0
M0089941,0.235,5,60.0,40.0,0.0,0.542,0.214,0.0,0.187
M0090022,0.084,5,40.0,60.0,0.0,0.458,0.112,0.019,0.093
M0090056,0.155,5,40.0,60.0,0.0,0.454,0.03,0.0,0.0
M0090060,-0.151,5,0.0,80.0,20.0,0.702,0.0,-0.098,0.0
M0090094,-0.497,5,0.0,20.0,80.0,0.54,-0.187,-0.187,0.0
M0090142,0.088,5,60.0,20.0,20.0,0.624,0.0,0.2,0.0
M0090180,0.088,5,60.0,0.0,40.0,0.696,0.1,0.249,0.123
M0090264,0.051,5,0.0,100.0,0.0,0.352,0.015,0.015,0.0
M0090305,0.311,5,80.0,20.0,0.0,0.589,0.187,0.0,0.187
M0090329,0.373,5,60.0,40.0,0.0,0.636,0.013,0.371,0.247
M0090555,0.033,5,20.0,60.0,20.0,0.536,0.004,0.154,0.0
M0090563,0.144,5,40.0,40.0,20.0,0.645,0.113,0.213,0.0
M0090570,0.015,5,40.0,40.0,20.0,0.508,0.027,0.07,0.123
M0090605,0.476,5,80.0,20.0,0.0,0.583,0.193,0.29,0.217
M0090655,-0.19,5,0.0,80.0,20.0,0.5,0.017,0.017,0.0
M0090670,0.091,5,40.0,40.0,20.0,0.616,0.187,0.0,0.187
M0090728,0.117,5,40.0,40.0,20.0,0.439,0.043,0.165,0.0
M0090756,0.353,5,60.0,40.0,0.0,0.646,0.178,0.201,0.179
M0090837,-0.293,5,0.0,60.0,40.0,0.502,0.013,-0.133,0.0
M0090859,-0.009,5,40.0,0.0,60.0,0.7,0.0,0.223,0.123
M0090863,0.11,5,60.0,20.0,20.0,0.6,0.107,0.193,0.093
M0090887,0.039,5,40.0,20.0,40.0,0.643,0.0,0.163,0.0
M0090888,0.288,5,40.0,60.0,0.0,0.435,0.074,0.177,0.0
M0090967,0.113,5,40.0,60.0,0.0,0.494,0.027,0.127,0.0
M0091042,0.11,5,60.0,20.0,20.0,0.6,0.087,0.027,0.0
M0091059,0.378,5,80.0,20.0,0.0,0.632,0.127,0.227,0.217
M0091064,-0.036,5,20.0,60.0,20.0,0.611,0.004,0.007,0.101
M0091080,0.082,5,40.0,40.0,20.0,0.695,-0.1,0.13,0.0
M0091129,-0.138,5,0.0,80.0,20.0,0.446,-0.061,-0.061,0.0
M0091149,0.182,5,60.0,20.0,20.0,0.528,0.085,0.1,0.12
M0091167,0.498,5,80.0,20.0,0.0,0.621,0.128,0.277,0.217
M0091187,0.225,5,40.0,60.0,0.0,0.567,0.008,0.258,0.0
M0091203,0.344,5,80.0,20.0,0.0,0.558,0.097,0.195,0.093
M0091209,0.037,5,40.0,40.0,20.0,0.521,0.1,0.02,0.0
M0091217,0.212,5,40.0,60.0,0.0,0.644,0.008,0.231,0.123
M0091223,-0.062,5,40.0,20.0,40.0,0.584,-0.069,-0.048,0.0
M0091225,0.027,5,40.0,40.0,20.0,0.486,0.032,0.039,0.093
M0091251,0.526,5,100.0,0.0,0.0,0.687,0.187,0.373,0.247
M0091326,-0.147,5,0.0,80.0,20.0,0.443,0.008,-0.067,0.0
M0091369,0.363,5,60.0,40.0,0.0,0.592,0.113,0.314,0.101
M0091419,0.329,5,100.0,0.0,0.0,0.548,0.205,0.1,0.093
M0091474,-0.082,5,0.0,100.0,0.0,0.477,0.008,0.008,0.0
M0091499,-0.237,5,20.0,40.0,40.0,0.596,0.093,-0.147,0.093
M0091530,0.146,5,40.0,60.0,0.0,0.585,0.127,0.004,0.093
M0091541,0.407,5,60.0,40.0,0.0,0.772,0.127,0.377,0.0
M0091605,0.016,5,40.0,40.0,20.0,0.458,0.004,0.104,0.0
M0091630,0.04,5,40.0,40.0,20.0,0.533,0.132,0.008,0.093
M0091635,0.242,5,40.0,40.0,20.0,0.567,0.013,0.275,0.0
M0091670,0.327,5,60.0,40.0,0.0,0.626,0.255,0.13,0.093
M0091738,0.28,5,60.0,40.0,0.0,0.559,0.254,0.113,0.093
M0091763,0.456,5,80.0,20.0,0.0,0.621,0.23,0.301,0.101
M0091777,0.289,5,60.0,20.0,20.0,0.492,0.077,0.123,0.123
M0091778,-0.114,5,0.0,80.0,20.0,0.39,0.054,0.054,0.0
M0091790,0.099,5,40.0,40.0,20.0,0.682,0.1,0.2,0.0
M0091828,-0.319,5,0.0,60.0,40.0,0.5,0.019,-0.202,0.0
M0091860,-0.072,5,20.0,60.0,20.0,0.394,0.043,0.013,0.0
M0091867,0.252,5,60.0,20.0,20.0,0.589,0.193,0.1,0.093
M0091875,0.124,5,40.0,40.0,20.0,0.575,0.021,0.078,0.093
M0091877,0.104,5,20.0,80.0,0.0,0.478,0.127,0.127,0.0
M0091886,0.017,5,40.0,40.0,20.0,0.542,0.117,0.119,0.0
M0091949,0.312,5,60.0,40.0,0.0,0.744,0.227,0.307,0.0
M0092005,0.623,5,80.0,20.0,0.0,0.662,0.113,0.563,0.0
M0092007,0.315,5,60.0,40.0,0.0,0.615,0.111,0.221,0.217
M0092048,0.181,5,40.0,40.0,20.0,0.477,0.124,0.0,0.093
M0092067,0.499,5,80.0,20.0,0.0,0.687,0.247,0.323,0.171
M0092076,-0.399,5,0.0,20.0,80.0,0.578,0.013,-0.133,0.0
M0092086,0.193,5,60.0,20.0,20.0,0.565,-0.008,0.137,0.202
M0092099,0.554,5,80.0,20.0,0.0,0.616,0.207,0.39,0.078
M0092106,0.258,5,60.0,20.0,20.0,0.662,0.113,0.343,-0.087
M0092493,-0.211,5,20.0,40.0,40.0,0.518,0.0,0.0,0.0
M0092513,0.076,5,20.0,60.0,20.0,0.593,0.093,0.0,0.093
M0092563,0.356,5,60.0,40.0,0.0,0.683,0.207,0.225,0.093
M0092593,0.337,5,80.0,0.0,20.0,0.635,0.28,0.127,0.093
M0092618,0.391,5,60.0,40.0,0.0,0.742,0.227,0.35,0.123
M0092644,0.123,5,40.0,20.0,40.0,0.568,0.1,0.103,0.0
M0092675,0.142,5,40.0,60.0,0.0,0.366,0.043,0.115,0.0
M0092699,0.352,5,60.0,40.0,0.0,0.493,0.13,0.211,0.0
M0092718,0.207,5,40.0,60.0,0.0,0.537,0.12,0.15,0.217
M0092796,-0.094,5,20.0,40.0,40.0,0.504,0.111,-0.081,0.093
M0092890,0.076,5,40.0,40.0,20.0,0.657,0.0,0.077,0.123
M0092925,0.02,5,20.0,60.0,20.0,0.564,0.021,0.144,0.123
M0092948,-0.058,5,40.0,20.0,40.0,0.604,0.093,-0.023,0.217
M0092965,0.626,5,80.0,20.0,0.0,0.692,0.233,0.44,0.093
M0092991,0.126,5,60.0,20.0,20.0,0.661,0.13,0.077,0.123
M0093010,0.24,5,60.0,20.0,20.0,0.624,0.064,0.177,0.0
M0093058,0.633,5,100.0,0.0,0.0,0.714,0.358,0.277,0.187
M0093075,-0.0,5,40.0,20.0,40.0,0.714,0.03,0.056,0.123
M0093105,0.556,5,100.0,0.0,0.0,0.552,0.208,0.25,0.0
M0093137,-0.043,5,20.0,60.0,20.0,0.44,0.134,0.134,0.0
M0093177,0.232,5,40.0,40.0,20.0,0.611,0.004,0.251,0.247
M0093191,0.389,5,80.0,0.0,20.0,0.787,0.193,0.249,0.34
M0093223,0.026,5,0.0,100.0,0.0,0.48,0.017,0.017,0.0
M0093260,0.245,5,60.0,40.0,0.0,0.481,0.128,0.167,0.0
M0093342,0.271,5,60.0,40.0,0.0,0.46,0.051,0.163,0.0
M0093389,0.337,5,80.0,0.0,20.0,0.742,0.127,0.317,0.123
M0093407,0.132,5,40.0,40.0,20.0,0.63,0.104,0.254,0.0
M0093409,0.248,5,60.0,20.0,20.0,0.567,0.078,0.223,0.202
M0093428,-0.008,5,0.0,100.0,0.0,0.453,0.004,0.004,0.0
M0093437,0.392,5,80.0,20.0,0.0,0.683,0.123,0.223,0.217
M0093493,0.057,5,40.0,20.0,40.0,0.64,0.093,0.15,0.093
M0093507,0.114,5,40.0,40.0,20.0,0.538,0.052,0.152,0.0
M0093560,0.186,5,60.0,40.0,0.0,0.54,0.034,0.18,0.0
M0093565,-0.139,5,20.0,40.0,40.0,0.607,-0.187,-0.063,0.123
M0093605,0.16,5,40.0,60.0,0.0,0.346,0.049,0.082,0.0
M0093629,0.171,5,40.0,60.0,0.0,0.508,0.168,0.027,0.093
M0093640,0.206,5,60.0,20.0,20.0,0.611,0.078,0.077,0.202
M0093692,-0.41,5,0.0,40.0,60.0,0.488,0.015,-0.206,0.0
M0093693,0.298,5,60.0,40.0,0.0,0.488,0.064,0.154,0.0
M0093748,-0.068,5,40.0,40.0,20.0,0.528,0.043,-0.005,0.0
M0093756,-0.464,5,0.0,40.0,60.0,0.628,0.004,-0.289,0.0
M0093773,0.394,5,80.0,20.0,0.0,0.643,0.234,0.3,0.0
M0093777,0.323,5,60.0,20.0,20.0,0.629,0.082,0.251,0.325
M0093779,0.526,5,100.0,0.0,0.0,0.678,0.281,0.237,0.217
M0093818,0.026,5,40.0,40.0,20.0,0.554,0.013,0.116,0.101
M0093822,0.075,5,20.0,60.0,20.0,0.5,0.121,0.121,0.0
M0093870,0.334,5,80.0,20.0,0.0,0.498,0.153,0.104,0.093
M0093886,-0.041,5,20.0,60.0,20.0,0.457,0.027,0.029,0.0
M0093894,0.014,5,20.0,60.0,20.0,0.413,0.034,0.0,0.0
M0093936,0.078,5,20.0,80.0,0.0,0.656,0.004,0.127,0.123
M0094006,0.425,5,60.0,40.0,0.0,0.574,0.092,0.275,0.078
M0094012,0.181,5,40.0,40.0,20.0,0.62,0.093,0.123,0.217
M0094074,-0.469,5,0.0,20.0,80.0,0.542,-0.152,-0.152,0.0
M0094137,0.441,5,80.0,20.0,0.0,0.564,0.044,0.328,0.123
M0094226,0.615,5,100.0,0.0,0.0,0.732,0.13,0.497,0.247
M0094291,0.065,5,40.0,40.0,20.0,0.597,0.14,0.14,0.0
M0094332,0.496,5,100.0,0.0,0.0,0.541,0.031,0.351,0.101
M0094336,0.525,5,100.0,0.0,0.0,0.649,0.351,0.327,0.093
M0094602,-0.159,5,0.0,80.0,20.0,0.435,-0.057,-0.057,0.0
M0094608,-0.014,5,40.0,20.0,40.0,0.555,0.047,0.0,0.0
M0094625,0.503,5,80.0,20.0,0.0,0.589,0.157,0.388,0.043
M0094663,-0.179,5,20.0,40.0,40.0,0.624,0.117,-0.127,0.0
M0094715,0.207,5,40.0,60.0,0.0,0.719,0.113,0.237,0.123
